"고유번호","기준연도","행정동코드","행정동명","2007년사용량","2008년사용량","X 좌표","Y 좌표"
"OBJECTID","BASE_YEAR","ADM_DR_CD","ADM_DR_NM","SUM_07","SUM_08","X","Y"
"350","2008","1121082","삼성동","2904.926","2853.472","193853.546","440227.137"
"336","2008","1121057","행운동","3271.835","3191.828","196607.344","442381.192"
"407","2008","1124069","문정2동","1744.688","1983.879","199032.868","443988.349"
"408","2008","1122061","방배본동","2500.173","2147.368","199063.499","441429.134"
"409","2008","1122063","방배2동","3607.827","3550.214","199823.794","441675.182"
"410","2008","1122064","방배3동","3125.039","2592.272","199244.368","443372.06"
"411","2008","1122065","방배4동","3167.447","3129.242","202096.054","441227.636"
"363","2008","1120068","대방동","4800.566","4716.516","193612.31","445282.244"
"365","2008","1120070","신대방2동","3416.122","3472.099","193121.754","443841.773"
"382","2008","1123072","일원본동","3908.402","3490.754","207425.076","442627.816"
"366","2008","1120071","흑석동","4396.049","3561.871","196874.495","445104.241"
"367","2008","1120072","노량진1동","5271.758","4496.646","195620.27","445920.171"
"370","2008","1123058","삼성1동","5485.358","4594.627","205250.361","446307.434"
"374","2008","1123063","대치4동","4587.407","4644.931","204858.263","444681.936"
"375","2008","1123064","역삼1동","12579.895","10381.521","203250.182","444496.053"
"376","2008","1123065","역삼2동","5161.986","5137.791","203972.8","444335.641"
"378","2008","1123068","개포1동","1827.943","1503.814","205351.196","442314.695"
"379","2008","1123069","개포2동","1840.41","1763.115","205913.367","442449.784"
"344","2008","1121071","난향동","779.803","647.954","192788.668","440284.456"
"345","2008","1121072","조원동","2397.465","2372.902","191776.175","442659.461"
"337","2008","1121058","낙성대동","2543.811","2306.397","196583.794","440969.218"
"420","2008","1124077","잠실6동","3329.787","3319.376","206556.921","445284.388"
"426","2008","1125055","고덕1동","2557.502","2605.182","213176.714","451642.015"
"387","2008","1124053","거여1동","2588.926","2197.886","212567.588","443919.115"
"388","2008","1124054","거여2동","3727.774","3543.22","213171.669","443307.769"
"390","2008","1124056","마천2동","2564.329","2539.965","213409.003","444559.418"
"437","2008","1125073","천호2동","5110.509","4607.285","210788.956","449383.591"
"438","2008","1125074","길동","7537.367","6980.014","213023.986","448939.589"
"413","2008","1122068","내곡동","1349.855","1234.586","201783.985","447372.759"
"418","2008","1124070","장지동","2410.522","2400.667","209482.927","446921.746"
"419","2008","1124071","잠실본동","5112.102","5120.18","208776.964","446524.327"
"383","2008","1123074","일원2동","2568.829","2454.467","207178.152","443859.614"
"385","2008","1123076","세곡동","574.738","581.703","209153.533","441450.913"
"400","2008","1124061","송파1동","3737.003","3033.83","210319.547","444840.944"
"428","2008","1125058","암사2동","1447.491","1405.617","210880.906","450968.767"
"394","2008","1125053","명일1동","4110.325","3401.714","211091.967","447669.484"
"423","2008","1125051","강일동","227.536","90.143","215247.599","451535.363"
"3","2008","1101055","부암동","1565.313","1219.005","196849.134","455100.694"
"395","2008","1125065","성내1동","2836.849","2323.126","210816.916","445619.643"
"433","2008","1125067","성내3동","3388.305","2767.507","211815.756","447665.923"
"416","2008","1123054","압구정1동","2342.96","1990.722","203495.035","447743"
"421","2008","1124079","잠실2동","585.27","739.423","207032.194","446477.204"
"393","2008","1124078","잠실7동","1087.402","966.542","212837.22","450016.02"
"402","2008","1124063","석촌동","4971.8","4082.427","210734.501","444199.501"
"430","2008","1125061","천호1동","3506.818","2864.188","212156.58","449683.208"
"397","2008","1124058","방이2동","4561.099","4571.431","211404.128","446461.97"
"399","2008","1124060","오금동","5858.27","5620.421","209757.84","445285.048"
"414","2008","1123051","신사동","2809.554","2801.291","202364.22","445842.604"
"417","2008","1123055","압구정2동","3053.445","2957.159","212098.948","442416.229"
"424","2008","1125052","상일동","4151.426","3960.219","214585.692","450155.145"
"432","2008","1125066","성내2동","3057.654","3048.881","211294.978","448323.149"
"427","2008","1125056","고덕2동","2399.047","1949.43","214335.251","451907.084"
"429","2008","1125059","암사3동","888.29","796.148","212230.801","451450.658"
"431","2008","1125063","천호3동","3577.02","3534.563","211849.088","448880.5"
"434","2008","1125070","둔촌1동","2727.134","2691.32","212380.541","447051.992"
"435","2008","1125071","둔촌2동","3462.129","2871.711","213127.875","448044.449"
"436","2008","1125072","암사1동","3794.452","3575.283","212019.622","450168.107"
"415","2008","1123052","논현1동","6348.629","5281.586","202495","447748.443"
"185","2008","1109064","수유2동","2424.361","2383.794","201721.415","460599.242"
"226","2008","1112065","신사1동","3369.447","3298.736","191899.431","455391.762"
"287","2008","1117062","고척2동","2963.638","2860.671","187142.57","445073.03"
"322","2008","1118057","시흥1동","3888.104","3102.493","191120.599","439328.644"
"339","2008","1121063","남현동","2922.481","2985.195","197929.147","440254.738"
"389","2008","1124055","마천1동","1967.915","1616.08","213665.901","443882.358"
"398","2008","1124059","오륜동","2892.584","2798.322","211854.555","444925.338"
"373","2008","1123062","대치3동","4172.445","3476.942","205845.671","444693.458"
"412","2008","1122066","양재1동","4377.557","3577.649","206165.612","439211.042"
"422","2008","1124080","잠실3동","3511.064","3611.178","208380.132","446309.836"
