"고유번호","기준연도","행정동코드","행정동명","2007년사용량","2008년사용량","X 좌표","Y 좌표"
"OBJECTID","BASE_YEAR","ADM_DR_CD","ADM_DR_NM","SUM_07","SUM_08","X","Y"
"301","2008","1123066","도곡1동","8.943653","8.724931","203602.87","443332.918"
"303","2008","1124051","풍납1동","5.583383","5.487099","210049.203","448760.352"
"362","2008","1120068","대방동","17.584373","17.14294","196987.685","443046.842"
"363","2008","1120069","신대방1동","10.930791","11.214451","193612.31","445282.244"
"364","2008","1120070","신대방2동","22.125485","22.465738","192006.103","443485.022"
"305","2008","1119063","신길1동","9.32045","9.10184","192917.39","445909.132"
"307","2008","1119065","신길3동","7.356238","7.202215","192325.766","445341.301"
"318","2008","1120052","노량진2동","7.997699","7.878201","195963.806","444498.87"
"357","2008","1122057","반포1동","7.485852","7.446047","199597.284","445275.998"
"358","2008","1120056","상도4동","11.014734","10.737273","200351.975","445907.067"
"360","2008","1120065","사당3동","10.845841","10.269315","197446.443","443274.999"
"361","2008","1120067","사당5동","5.668843","5.521229","197392.462","442363.678"
"312","2008","1119070","대림1동","8.51981","8.304132","191234.242","443389.609"
"322","2008","1118055","독산4동","8.25265408","8.22602675","191120.599","439328.644"
"337","2008","1121061","중앙동","6.266487","6.275918","197031.099","441418.731"
"342","2008","1121068","신사동","9.726021","9.727387","193536.714","443050.798"
"352","2008","1122051","서초1동","13.158716","13.138851","202461.729","443293.446"
"409","2008","1122063","방배2동","13.284816","13.324547","199823.794","441675.182"
"410","2008","1122064","방배3동","13.302008","13.003724","199244.368","443372.06"
"327","2008","1118061","시흥5동","9.48840356","10.23127459","193731.108","447688.781"
"329","2008","1119056","당산2동","13.795888","13.562663","191486.792","448223.039"
"331","2008","1119076","문래동","12.657236","14.193056","197890.478","442327.237"
"332","2008","1120072","노량진1동","18.604661","17.891275","197746.612","444321.265"
"333","2008","1120073","사당2동","13.471996","13.322374","194007.282","443463.458"
"340","2008","1121064","서원동","11.607048","11.315398","194525.99","441596.917"
"341","2008","1121066","서림동","10.991969","11.028113","192903.973","442920.817"
"344","2008","1121071","난향동","2.754976","2.712725","191776.175","442659.461"
"345","2008","1121072","조원동","8.344673","8.155081","195609.539","439440.063"
"346","2008","1121073","대학동","16.197446","16.21214","194745.078","443077.456"
"347","2008","1121078","은천동","13.353275","13.202919","195639.647","443380.734"
"348","2008","1121079","성현동","12.621774","12.338544","195081.165","442018.916"
"349","2008","1121080","청룡동","14.800242","14.89106","193853.546","440227.137"
"413","2008","1122068","내곡동","6.701194","5.793083","202364.22","445842.604"
"416","2008","1124069","문정2동","1.356784","1.275244","203495.035","447743"
"354","2008","1122053","서초3동","27.777639","27.556485","201140.422","446503.396"
"350","2008","1121082","삼성동","11.183164","10.94115","192589.217","441644.963"
"351","2008","1121083","미성동","15.563241","15.301466","201801.851","442999.793"
"405","2008","1122058","반포2동","1.891113","1.856192","211614.877","444099.164"
"407","2008","1122060","반포4동","25.867369","25.416047","199032.868","443988.349"
"334","2008","1121052","보라매동","11.358573","11.032821","196396.071","443345.42"
"335","2008","1121057","행운동","13.161144","12.755936","196607.344","442381.192"
"336","2008","1121058","낙성대동","7.964512","8.222774","196583.794","440969.218"
"339","2008","1121063","남현동","8.509472","8.514167","194086.155","442301.543"
"374","2008","1123062","대치3동","14.777525","14.393642","204858.263","444681.936"
"391","2008","1124056","마천2동","7.309458","7.244431","211261.036","443157.816"
"392","2008","1124060","오금동","13.801476","11.33055","209482.927","446921.746"
"394","2008","1124062","송파2동","3.697373","3.693906","211091.967","447669.484"
"397","2008","1124065","가락본동","13.177435","13.220734","211404.128","446461.97"
"400","2008","1124075","잠실4동","0.105726","0.116264","210319.547","444840.944"
"403","2008","1124057","방이1동","7.000069","6.93024","210734.501","444199.501"
"404","2008","1124059","오륜동","3.727643","3.704401","209528.113","443973.611"
"426","2008","1125055","고덕1동","3.079728","3.107819","213176.714","451642.015"
"433","2008","1125067","성내3동","10.131355","9.853181","211815.756","447665.923"
"401","2008","1125052","상일동","8.05737","7.847503","209206.44","444825.298"
"376","2008","1123064","역삼1동","60.090084","59.307558","203972.8","444335.641"
"379","2008","1123068","개포1동","0.54488","0.537682","205913.367","442449.784"
"380","2008","1123069","개포2동","1.701427","2.011517","206351.662","443239.501"
"381","2008","1123070","개포3동","0.469326","0.434542","204710.452","441911.221"
"434","2008","1125070","둔촌1동","3.118539","3.255669","212380.541","447051.992"
"435","2008","1125071","둔촌2동","9.936283","9.861327","213127.875","448044.449"
"437","2008","1125073","천호2동","15.381107","15.316853","210788.956","449383.591"
"382","2008","1123071","개포4동","11.016288","11.009447","207425.076","442627.816"
"386","2008","1123076","세곡동","2.651814","2.586811","209733.947","447836.425"
"387","2008","1124052","풍납2동","13.731943","13.852274","212567.588","443919.115"
"388","2008","1124053","거여1동","4.589841","4.599134","213171.669","443307.769"
"415","2008","1124067","가락2동","9.679035","10.46316","202495","447748.443"
"419","2008","1124077","잠실6동","6.814883","6.442344","208776.964","446524.327"
"424","2008","1125053","명일1동","8.868772","8.687536","214585.692","450155.145"
"432","2008","1125066","성내2동","10.506958","10.360192","211294.978","448323.149"
"389","2008","1124054","거여2동","5.159467","5.077378","213665.901","443882.358"
"406","2008","1122059","반포3동","4.806518","4.959077","210402.067","442170.777"
"418","2008","1124071","잠실본동","14.353305","14.406461","207247.974","445125.744"
"369","2008","1123056","청담1동","11.231703","11.444995","203952.789","447006.484"
"402","2008","1125065","성내1동","7.794024","7.602051","208003.497","444695.558"
"420","2008","1124078","잠실7동","0.41099","0.410427","206556.921","445284.388"
"421","2008","1124079","잠실2동","1.531068","1.504161","207032.194","446477.204"
"428","2008","1125058","암사2동","2.462027","2.48443","210880.906","450968.767"
"390","2008","1124055","마천1동","6.423052","6.359872","213409.003","444559.418"
"365","2008","1120071","흑석동","18.810222","17.974609","193121.754","443841.773"
"370","2008","1123057","청담2동","10.549502","10.454419","205250.361","446307.434"
"371","2008","1123058","삼성1동","28.756018","28.173288","204331.585","445802.96"
"372","2008","1123059","삼성2동","14.377725","14.412131","205857.937","444010.024"
"169","2008","1111054","월계4동","8.269525","8.417525","206628.143","459869.162"
"253","2008","1116053","등촌2동","8.460003","8.280468","186456.614","451389.529"
"271","2008","1116070","방화1동","11.095055","10.872201","183479.251","452247.062"
"366","2008","1123053","논현2동","22.733526","22.611445","196874.495","445104.241"
"412","2008","1122066","양재1동","13.689656","13.813689","206165.612","439211.042"
"395","2008","1124063","석촌동","15.180216","14.91921","210816.916","445619.643"
"438","2008","1125074","길동","17.600033","17.597098","213023.986","448939.589"
"417","2008","1124070","장지동","24.023311","36.221153","212098.948","442416.229"
"422","2008","1124080","잠실3동","9.816598","9.296283","208380.132","446309.836"
"423","2008","1125051","강일동","13.041745","14.206382","215247.599","451535.363"
"425","2008","1125054","명일2동","4.745891","4.439935","213768.099","449897.966"
"427","2008","1125056","고덕2동","8.113909","8.241782","214335.251","451907.084"
"429","2008","1125059","암사3동","1.781513","1.788522","212230.801","451450.658"
"430","2008","1125061","천호1동","10.212399","10.259278","212156.58","449683.208"
"431","2008","1125063","천호3동","9.436737","9.392293","211849.088","448880.5"
