coord,addr,name
"[37.48337572266788,126.8987613851819]",서울특별시 구로구 구로동 1128-1 구로호텔 1층,스타벅스 구로호텔점
"[37.468939837139956,126.8957400529586]",서울특별시 금천구 독산동 291-1 ,스타벅스 금천독산점
"[37.49611512599202,126.84484634082196]",서울특별시 구로구 오류동 55-50 ,스타벅스 오류동역점
"[37.48575553555726,126.89597879300668]",서울특별시 구로구 구로동 191-7 에이스테크노타워 8차 1층,스타벅스 구로디지털로점
"[37.48425527741306,126.89453095896464]",서울특별시 구로구 구로동 212-1 에이스트윈타워1 103호,스타벅스 구로에이스점
"[37.47951213069911,126.8874213445489]",서울특별시 금천구 가산동 60-5 ,스타벅스 가산그레이트점
"[37.4815793531491,126.89358671083245]",서울특별시 구로구 구로동 235-2 ,스타벅스 구로하이엔드점
"[37.47709271917911,126.88406543844116]",서울특별시 금천구 가산동 371-37 브이타워 1층,스타벅스 가산브이타워점
"[37.478604399956716,126.88480047012763]",서울특별시 금천구 가산동 60-20 마리오아울렛3관 1F,스타벅스 마리오아울렛점
"[37.47732503193723,126.88767989024674]",서울특별시 금천구 가산동 60-27 B1층,스타벅스 Wmall점
"[37.2614491120559,127.03117473132608]",경기도 수원시 권선구 권선동 1023 ,스타벅스 수원시청점
"[37.249970006451214,127.02140234861602]",경기도 수원시 권선구 권선동 1189 ,스타벅스 수원이마트점
"[37.265500942863895,127.03300564066664]",경기도 수원시 팔달구 인계동 1038-2 ,스타벅스 수원인계점
"[37.26741172845043,127.0026524981446]",경기도 수원시 팔달구 매산로1가 53-9 ,스타벅스 수원매산점
"[37.27956078086131,127.04334671971255]",경기도 수원시 팔달구 우만동 58-32 오스타스토리빌딩 1층,스타벅스 아주대점
"[37.26792829527025,127.02792353457389]",경기도 수원시 팔달구 인계동 1019 ,스타벅스 수원인계DT점
"[37.25921548373093,127.03130480116593]",경기도 수원시 팔달구 인계동 1132-12 ,스타벅스 수원이비스점
"[37.278147357768596,127.03352045669952]",경기도 수원시 팔달구 우만동 153-20 ,스타벅스 동수원DT점
"[37.24600549961233,127.0479640368707]",경기도 수원시 영통구 신동 941 ,스타벅스 수원트레이더스점
"[37.24616446636634,127.04868341133528]",경기도 수원시 영통구 신동 941 ,이마트트레이더스 수원점
"[37.267937490294976,127.0279459657715]",경기도 수원시 팔달구 인계동 1019 스타벅스 3층,경기공인중개사사무소
"[37.51331188035625,127.1229907155617]",서울특별시 송파구 방이동 181 외 2필지,스타벅스 올림픽공원남문점
"[37.537834637866986,127.12733154822443]",서울특별시 강동구 천호동 453-14 ,스타벅스 천호로데오점
"[37.53779517837217,127.12443529155121]",서울특별시 강동구 성내2동 62-4 태승빌딩 1층,스타벅스 천호역점
"[37.38606257077785,127.1240572100779]",경기도 성남시 분당구 서현동 248-5 1층 106호,스타벅스 서현역점
"[37.525479582647826,127.12589160718319]",서울특별시 강동구 성내동 468 ,스타벅스 올림픽공원북문점
