coord,addr,name
"[37.51419087877666,127.10444051444583]",서울특별시 송파구 신천동 29 롯데월드몰 1F,엔제리너스 잠실롯데월드몰F1점
"[37.512333942858966,127.09959878600398]",서울특별시 송파구 잠실동 40-1 롯데백화점잠실점 B1,엔제리너스 롯데백화점잠실점
"[37.51559047333107,127.10364326657408]",서울특별시 송파구 신천동 7-23 ,엔제리너스 대한제당점
"[37.53841955053544,127.07284121218989]",서울특별시 광진구 자양동 227-7 스타시티몰 지하 1층,엔제리너스 건대스타시티점
"[37.58180756948216,127.08823334881585]",서울특별시 중랑구 면목동 497-15 ,엔제리너스 사가정역점
"[37.53914553373374,127.07120279676259]",서울특별시 광진구 자양동 227-342 롯데백화점스타시티점 10F,엔제리너스 롯데백건대식당가점
"[37.535283799257165,127.08437595534593]",서울특별시 광진구 자양동 680-68 세경빌딩 1층,엔제리너스 구의역점
"[37.54145875297801,127.11547556284803]",서울특별시 송파구 풍납동 47-23 ,엔제리너스 천호나루TO점
"[37.540226951347584,127.07122332917963]",서울특별시 광진구 화양동 4-20 ,엔제리너스 건대영존점
"[37.513598895746995,127.10479824862124]","서울특별시 송파구 신천동 29 쇼핑몰 1, 지하1층",엔제리너스커피 월드타워점
"[37.5131116016051,127.1035145518992]",서울특별시 송파구 신천동 29 ,엔제리너스 월드타워관TO점
"[37.51304733169242,127.1033569590471]",서울특별시 송파구 신천동 29 롯데월드몰 7F,엔제리너스 잠실롯데월드몰B1점
"[37.511276822899994,127.09803921825795]",서울특별시 송파구 잠실동 40-1 ,엔제리너스 롯데백잠실광장점
"[37.513743222599416,127.10481914802124]",서울특별시 송파구 신천동 29 ,엔제리너스 롯데월드몰점
"[37.507216145158495,127.10199025541601]",서울특별시 송파구 석촌동,엔제리너스커피석촌호수DI점
"[37.51068029443116,127.10016158756616]",서울특별시 송파구 잠실동,엔제리너스커피잠실샤롯데점
"[37.51478126019971,127.10031596304071]",서울특별시 송파구 신천동,엔제리너스커피롯데캐슬잠실교보점
"[37.51064158106894,127.09627100791788]",서울특별시 송파구 잠실동,엔제리너스커피월드스포츠점
"[37.51140844357852,127.0963974972632]",서울특별시 송파구 잠실동,엔제리너스커피보네스뻬월드스포츠점
"[37.511081225193365,127.09720454011243]",서울특별시 송파구 잠실동,엔제리너스커피월드어드벤쳐점
"[37.51701673858984,127.1183546239869]",서울특별시 송파구 방이동,엔제리너스커피올림픽공원점
"[37.526813041400274,127.10423307195137]",서울특별시 송파구 신천동,엔제리너스커피천호나루T/O점
"[37.5136459210562,127.10387013294225]",서울특별시 송파구 신천동,엔제리너스커피월드타워점
"[37.51071787601318,127.09800069953027]",서울특별시 송파구 잠실동,엔제리너스커피월드영프라자점
"[37.53540975861312,127.0843517854887]",서울특별시 광진구 자양동,엔제리너스커피구의역점
"[37.58179855991513,127.08823345869226]",서울특별시 중랑구 면목동,엔제리너스커피사가정역점
"[37.38352269963099,127.12178317357392]",경기도 성남시 분당구 서현동 268-6 ,엔제리너스 서현로데오
"[37.3860007194696,127.12057985813182]",경기도 성남시 분당구 서현동 275 ,엔제리너스 롯데마트서현점
"[37.403882606289926,127.09964437925491]",경기도 성남시 분당구 삼평동,엔제리너스커피판교W-CITY점
"[37.29520991490932,126.86087353109916]",경기도 안산시 상록구 본오동 880 롯데마트상록점 3층,엔제리너스 롯데마트안산상록TO점
"[37.29524454125701,126.86072638697159]",경기도 안산시 상록구 본오동,엔제리너스롯데마트안산상록점
"[37.26658461170635,127.06584572837197]",경기도 수원시 영통구 원천동 318-1 ,엔제리너스 르노수원점
"[37.25268082563644,127.0715747455683]",경기도 수원시 영통구 영통동 960-1 ,엔제리너스 롯데마트수원영통TO점
"[37.252662717195655,127.07156369531462]",경기도 수원시 영통구 영통동,엔제리너스롯데마트수원영통점
"[37.24678225148367,127.07664042951359]",경기도 용인시 기흥구 서천동 7-6 ,엔제리너스 수원경희대점
"[37.22845086408524,127.08669044601187]",경기도 용인시 기흥구 농서동 산14-1 ,엔제리너스 기흥반도체TO점
"[37.237091770118404,127.07270138630093]",경기도 용인시 기흥구 서천동 813 ,엔제리너스 용인서천점
"[37.27474696067358,127.0806176009978]",경기도 용인시 기흥구 영덕동 1029 ,엔제리너스 용인유타워점
"[37.27503633197667,127.0807493915437]",경기도 용인시 기흥구 영덕동,엔제리너스커피용인유타워점
"[37.234496996676405,127.08432975274664]",경기도 용인시 기흥구 농서동,엔제리너스기흥반도체점
