p_id,assist,goal,play,st
20000001,0,0,2,1
20000002,6,5,42,74
20000003,0,0,4,5
20000004,0,0,3,2
20000005,0,1,6,10
20000010,0,0,2,0
20000018,10,7,47,56
20000021,2,0,13,19
20000030,1,0,9,7
20000031,0,0,6,6
20000032,0,0,1,0
20000035,0,0,2,0
20000037,0,0,3,0
20000038,0,0,1,0
20000044,2,21,108,139
20000045,5,3,46,36
20000048,1,0,3,2
20000049,6,3,20,49
20000050,15,10,57,69
20000053,22,18,96,126
20000054,0,0,2,1
20000055,0,0,1,0
20000056,8,14,67,140
20000058,1,0,3,1
20000060,0,0,2,0
20000061,0,8,21,36
20000065,1,0,6,3
20000081,1,0,2,2
20000084,0,0,1,0
20000087,12,10,73,101
20000088,6,5,17,42
20000089,0,0,9,12
20000092,0,0,2,2
20000094,0,0,1,2
20000097,6,12,60,113
20000098,0,0,1,0
20000104,0,0,4,5
20000109,0,0,7,6
20000110,0,0,7,2
20000111,0,0,2,2
20000112,0,0,1,4
20000113,0,0,3,3
20000114,0,0,4,0
20000117,1,0,5,6
20000118,0,0,25,29
20000119,0,0,2,0
20000120,0,0,18,16
20000126,0,0,2,3
20000127,15,26,146,240
20000128,1,2,7,5
20000132,0,0,1,0
20000149,0,0,1,0
20000152,1,7,29,58
20000153,0,0,3,4
20000154,6,3,32,66
20000155,0,0,8,10
20000158,0,0,2,2
20000159,0,0,2,2
20000160,0,2,5,18
20000162,0,0,3,5
20000164,3,7,51,71
20000165,0,5,10,22
20000167,0,1,3,6
20000168,12,36,111,264
20010003,9,23,139,191
20010004,2,1,27,29
20010005,18,46,177,312
20010012,1,0,5,0
20010019,0,0,14,11
20010020,0,0,2,0
20010028,0,0,7,7
20010031,0,0,1,0
20010032,0,0,4,4
20010034,0,0,4,1
20010035,2,6,43,63
20010038,0,0,4,0
20010043,0,1,4,7
20010044,0,0,1,1
20010047,1,1,8,10
20010048,0,0,6,7
20010049,0,1,28,11
20010056,0,1,8,2
20010057,8,29,94,186
20010058,0,0,1,0
20010059,9,12,84,77
20010061,0,0,2,2
20010062,1,0,3,0
20010063,0,0,7,4
20010064,3,1,19,16
20010067,0,0,1,0
20010068,0,0,5,4
20010070,0,0,2,0
20010071,1,6,26,43
20010073,0,0,2,1
20010074,2,0,8,4
20010075,0,0,2,0
20010079,0,0,2,0
20010080,0,0,2,0
20010081,0,0,1,0
20010083,1,0,12,10
20010086,0,1,9,6
