coord,addr,name
"[37.30097192466565,126.83905111501312]",경기도 안산시 상록구 사동 1570-4 ,이디야커피 안산한대점
"[37.53853535794788,127.20353287646125]",경기도 하남시 덕풍동 419-47 ,이디야커피 하남덕풍점
"[37.540560260332455,127.2139218541349]",경기도 하남시 신장동 519 ,이디야커피 하남시청점
"[37.54162761735159,127.2064534430749]",경기도 하남시 덕풍동 406-2 ,이디야커피 하남점
"[37.56536463761566,127.17408824627432]",서울특별시 강동구 강일동 675-3 ,이디야커피 강일점
"[37.49788071218204,127.1357471275748]",서울특별시 송파구 오금동 165 상아상가 107호,이디야 개롱역점
"[37.551408681673514,127.17427622459203]",서울특별시 강동구 상일동 490 ,이디야커피 상일리엔파크점
"[37.54160863882894,127.1308068003131]",서울특별시 강동구 천호3동 397-74 2층,이디야 천호동점
"[37.546386408626695,127.14592689880735]",서울특별시 강동구 명일1동 347-3 ,이디야커피 명일중앙점
"[37.54354599502099,127.14190810973699]",서울특별시 강동구 천호동 45-7 ,이디야커피 굽은다리역점
"[37.52881291389798,127.14302728456373]",서울특별시 강동구 둔촌2동 556 (엠펠로스 타워) 105호,이디야 보훈병원점
"[37.53564557733717,127.13474573862132]",서울특별시 강동구 길동 445-1 ,이디야커피 강동SK허브점
"[37.53738405031378,127.13960252237726]",서울특별시 강동구 길동 389-2 ,이디야커피 길동역점
"[37.58682377936223,127.13949800406851]",경기도 구리시 수택동 875-3 ,이디야커피 구리장자못점
"[37.5292237896623,127.13634731534341]",서울특별시 강동구 성내동 415-8 ,이디야 둔촌점
"[37.55404003793219,127.1552106785339]",서울특별시 강동구 명일동 47-4 ,이디야커피 고덕점
"[37.53683898966596,127.13038692828454]",서울특별시 강동구 천호동 450 ,이디야커피 강동역점
"[37.46179609724618,127.16624217794295]",경기도 성남시 수정구 양지동 169 ,이디야커피 을지대점
"[37.49787503257598,127.14611780563513]",서울특별시 송파구 거여동 133-77 ,이디야커피 마천사거리점
"[37.55070863154645,127.14429316374219]",서울특별시 강동구 명일동 324-1 ,이디야커피 명일역점
"[37.53651972927822,127.14590365936968]",서울특별시 강동구 길동 252-92 ,이디야커피 길동중앙점
"[37.493490859761984,127.1441774024434]",서울특별시 송파구 거여동 26-2 ,이디야커피 거여점
"[37.600215519305046,127.14104250350896]",경기도 구리시 수택동 404-7 ,이디야커피 구리돌다리점
"[37.59220884323408,127.139062326985]",경기도 구리시 수택동 847-4 ,이디야커피 구리수택점
"[37.586377833597126,127.2124325733133]",경기도 남양주시 와부읍 덕소리 474-20 ,이디야커피 덕소삼거리점
"[37.600440898158844,127.13489055068696]",경기도 구리시 교문동 227-13 ,이디야커피 구리교문동점
"[37.587019270652384,127.20864399641886]",경기도 남양주시 와부읍 덕소리 590-17 ,이디야커피 덕소코레일점
"[37.493509698541466,127.14429027375533]",서울특별시 송파구 거여동,이디야커피거여역점
"[37.49788972199417,127.1357470237386]",서울특별시 송파구 오금동,이디야커피개롱역점
"[37.541626824864345,127.13082922095407]",서울특별시 강동구 천호동,이디야커피천호동점
"[37.58638639018228,127.2123645468667]",경기도 남양주시 와부읍 덕소리,이디야커피덕소점
"[37.29767509070418,126.86329517168011]",경기도 안산시 상록구 본오동 872-16 ,이디야커피 안산본오동점
"[37.473681584416866,126.81236097718906]",경기도 부천시 소사구 범박동 204-8 ,이디야 부천범박동점
"[37.470700778834065,126.79560910025486]",경기도 부천시 소사구 소사본동 231-4 ,이디야커피 부천복사역점
"[37.48434226158696,126.76418308301709]",경기도 부천시 소사구 송내동 373 ,이디야커피 부천중동역점
"[37.48442584816,126.810958453612]",경기도 부천시 소사구 괴안동 113-1 ,이디야커피 역곡CGV점
"[37.48018125420254,126.79135275845398]",경기도 부천시 소사구 소사본동 106-7 1층,이디야 서울신대점
"[37.472500607509325,126.80336946079646]",경기도 부천시 소사구 소사본동 409-6 ,이디야커피 부천소사본동점
"[37.4863217786339,126.75277545169233]",경기도 부천시 소사구 송내동 709-6 ,이디야커피 송내남부역점
"[37.482828820810845,126.7824343620125]",경기도 부천시 소사구 심곡본동 736-2 ,이디야 부천남부역점
"[37.47674652182205,126.80802757792685]",경기도 부천시 소사구 괴안동 87-1 ,이디야커피 부천괴안동점
"[37.48279266901045,126.78242364203096]",경기도 부천시 소사구 심곡본동,이디야커피부천남부역점
"[37.48629408107044,126.81216133061076]",경기도 부천시 원미구 역곡동 82-8 2층,이디야 역곡북부역점
"[37.49199151939933,126.82415946089408]",서울특별시 구로구 온수동 51-27 ,이디야 온수역점
"[37.48615052483482,126.80507398449829]",경기도 부천시 원미구 역곡동 34 ,이디야커피 가톨릭대점
"[37.459814117250914,126.73504038794094]",인천광역시 남동구 만수동 25 ,이디야커피 인천만수주공점
"[37.495388920935575,126.84337609534393]",서울특별시 구로구 오류동 51-31 ,이디야커피 오류북부역점
"[37.49303745696129,126.79120214438247]",경기도 부천시 원미구 원미동 94-12 1층,이디야 부천원미점
"[37.49141094861918,126.7846018833625]",경기도 부천시 원미구 심곡동 120 ,이디야 부천심곡점
"[37.48931366722964,126.75538299633322]",경기도 부천시 원미구 상동 456-3 ,이디야 송내투나점
"[37.485618783483666,126.79089202372322]",경기도 부천시 원미구 소사동 6-27 ,이디야커피 부천성모병원점
"[37.48367481121439,126.74531176312881]",인천광역시 부평구 일신동 100-4 ,이디야커피 부평일신점
"[37.486731490723315,126.74212853831112]",인천광역시 부평구 부개동 310-37 ,이디야커피 부개역점
"[37.486275850416995,126.78117985395808]",경기도 부천시 원미구 심곡동 382-12 ,이디야커피 부천북부역점
"[37.48078188452595,126.83957620912356]",서울특별시 구로구 천왕동 156-14 ,이디야커피 천왕이펜하우스점
"[37.49514218871822,126.77945257339984]",경기도 부천시 원미구 중동 1116 ,이디야커피 부천리첸시아점
"[37.4900709554467,126.75286011225299]",경기도 부천시 원미구 상동 411-1 ,이디야커피 부천송내점
"[37.49006051437934,126.75272459302802]",경기도 부천시 원미구 상동,이디야커피송내점
"[37.489332042007156,126.75541661432477]",경기도 부천시 원미구 상동,이디야커피송내투나점
"[37.49269584213852,126.73701901481469]",인천광역시 부평구 부개동,이디야커피인천부개역점
"[37.49138392216761,126.784602321318]",경기도 부천시 원미구 심곡동,이디야커피부천심곡동점
"[37.66290293953486,126.76992174661403]",경기도 고양시 일산동구 장항동 780 ,이디야 일산허유재병원점
"[37.65476813842199,126.77263982141346]",경기도 고양시 일산동구 장항동 868 ,이디야커피 일산웨스턴돔점
"[37.65684348693729,126.77120036253213]",경기도 고양시 일산동구 장항동 862 ,이디야커피 일산MBC점
"[37.65550392468966,126.7897856024]",경기도 고양시 일산동구 마두1동 728 1층,이디야커피 마두학원가점
"[37.65305235585178,126.77747302025375]",경기도 고양시 일산동구 마두동 798-6 서울타워 101호,이디야커피 마두역2호점
"[37.64246429411896,126.78783299843168]",경기도 고양시 일산동구 백석동 1308 ,이디야커피 백석역점
"[37.654615131800554,126.78309107452802]",경기도 고양시 일산동구 마두동 792 ,이디야커피 마두중앙점
"[37.64817834284522,126.78187030302868]",경기도 고양시 일산동구 백석동 1194 ,이디야커피 일산이마트점
"[37.65113890338097,126.7771530940333]",경기도 고양시 일산동구 장항동 895-1 우신프라자 102호,이디야커피 마두역점
"[37.66790323139204,126.80051095084917]",경기도 고양시 일산동구 풍동 1275 ,이디야커피 일산풍동점
"[37.67831299035719,126.81239386905189]",경기도 고양시 일산동구 식사동 679-37 ,이디야커피 일산식사점
"[37.69423169074626,126.78041422296822]",경기도 고양시 일산동구 중산동 1560-1 ,이디야커피 중산마을점
"[37.65479905412083,126.77301329180455]",경기도 고양시 일산동구 장항동,이디야커피웨스턴돔점
"[37.66293173767067,126.77009128046791]",경기도 고양시 일산동구 장항동,이디야커피허유재병원점
"[37.65144542887403,126.77717073178269]",경기도 고양시 일산동구 장항동,이디야커피마두역점
"[37.7109707149235,126.7510042402646]",경기도 파주시 야당동 1006-3 한강프라자 107호,이디야 파주운정점
"[37.67571303913499,126.74745796015934]",경기도 고양시 일산서구 대화동 2222 ,이디야커피 대화역점
"[37.65329077477687,126.83759943019442]",경기도 고양시 덕양구 성사동 722-4 ,이디야커피 고양어울림점
"[37.623791206795566,126.83573671166418]",경기도 고양시 덕양구 행신동 950 ,이디야커피 행신점
"[37.73327190511637,126.75115154373783]",경기도 파주시 와동동 1301 ,이디야커피 파주가람마을점
"[37.723373298844855,126.75231596845002]",경기도 파주시 와동동 1365 ,이디야커피 파주와동점
"[37.62755555089098,126.83098793914674]",경기도 고양시 덕양구 화정동 1145 ,이디야커피 고양화정동점
"[37.6913408996474,126.76325008311493]",경기도 고양시 일산서구 탄현동 1573-5 ,이디야커피 일산탄현점
"[37.68812511361669,126.86455023527311]",경기도 고양시 덕양구 관산동 227-6 ,이디야커피 고양관산점
"[37.63204782194613,126.83242436654689]",경기도 고양시 덕양구 화정동 979-2 백양빌딩 1층,이디야커피 화정로데오점
"[37.6189600942349,126.83010308336078]",경기도 고양시 덕양구 행신동 650 ,이디야커피 행신중앙점
"[37.638303438983755,126.83359546258524]",경기도 고양시 덕양구 화정동 905 ,이디야 화정중앙점
"[37.685428283021366,126.77513913127693]",경기도 고양시 일산서구 일산동 576-20 ,이디야 일산산들점
"[37.670909363930036,126.73551214471314]",경기도 고양시 일산서구 대화동 768-3 ,이디야커피 대화마을점
"[37.682119228817996,126.7697178430322]",경기도 고양시 일산서구 일산동 655-691 ,이디야커피 일산코레일점
"[37.657470606054005,126.83751159740449]",경기도 고양시 덕양구 성사동 510-5 ,이디야커피 고양원당점
"[37.617915919604705,126.84667977153798]",경기도 고양시 덕양구 행신동 1083-3 ,이디야커피 행신서정점
"[37.635823835534026,126.83250123842949]",경기도 고양시 덕양구 화정동 967-1 ,이디야커피 덕양구청점
"[37.67151000692227,126.75897719335121]",경기도 고양시 일산서구 주엽동 18-2 ,이디야커피 주엽사거리점
"[37.74375301705187,126.80795640829575]",경기도 파주시 조리읍 봉일천리 160-36 ,이디야커피 파주봉일천점
"[37.62607240494362,126.82408951695129]",경기도 고양시 덕양구 토당동 845 파워플라자 107호,이디야커피 능곡점
"[37.63275924580245,126.83329692988877]",경기도 고양시 덕양구 화정동 976 ,이디야커피 화정이마트점
"[37.665369841701306,126.7551464398445]",경기도 고양시 일산서구 대화동 2606 고양원마운트 1F 126,이디야커피 고양원마운트점
"[37.68677292063128,126.77015116002528]",경기도 고양시 일산서구 일산동 606-1 ,이디야커피 일산시장점
"[37.678149254451476,126.76745947623779]",경기도 고양시 일산서구 일산동 1078-1 ,이디야커피 일산후곡점
"[37.67004870929062,126.76053175665041]",경기도 고양시 일산서구 주엽동 109 ,이디야커피 주엽역점
"[37.67597283835503,126.74731756159461]",경기도 고양시 일산서구 대화동 2221 ,이디야커피 대화코레일점
"[37.688309307452485,126.76027324105006]",경기도 고양시 일산서구 덕이동 203-1 ,이디야커피 덕이이마트점
"[37.71058942813809,126.74479567686515]",경기도 파주시 동패동 59-3 ,이디야커피 파주운정이마트점
"[37.66390799418391,126.75408278456511]",경기도 고양시 일산서구 대화동,이디아커피일산원마운트점
"[37.67821302449962,126.76752643874504]",경기도 고양시 일산서구 일산동 1078-1 덕흥프라자 102호,이디야 일산후곡점
"[38.03154689979389,127.36681040404491]",경기도 포천시 이동면 장암리 240-22 ,이디야커피 포천이동점
"[37.89802222943664,127.2040865943616]",경기도 포천시 신읍동 193-4 ,이디야커피 포천신읍점
"[37.958648275480094,127.31857226137679]",경기도 포천시 일동면 기산리 82-41 ,이디야커피 포천일동점
"[37.82796050923277,127.14502055191497]",경기도 포천시 소흘읍 송우리 163-3 ,이디야커피 포천송우리점
"[37.853893611805,127.16668673205996]",경기도 포천시 선단동 49-2 ,이디야커피 대진대학교점
"[37.737743958464115,127.08760630406368]",경기도 의정부시 용현동 554-5 ,이디야커피 의정부용현점
"[37.74356622303653,127.08666115437752]",경기도 의정부시 민락동 732-1 ,이디야 의정부어룡점
"[37.73920762924792,127.4216820783367]",경기도 가평군 청평면 청평리 314-5 ,이디야커피 청평점
"[37.81811670552166,127.35022636384517]",경기도 가평군 하면 현리 410-25 ,이디야커피 가평현리점
"[37.79567232794622,127.0809332173136]",경기도 양주시 광사동 655 ,이디야커피 양주고읍점
"[37.740455974813315,127.09343892822879]",경기도 의정부시 민락동 700-3 ,이디야커피 의정부민락점
"[37.81821612618383,127.35028228300719]",경기도 가평군 하면 현리 410-25,이디야커피
"[37.818092903720974,127.04624083279941]",경기도 양주시 덕계동 420-9 ,이디야커피 양주덕계점
"[37.842695936996826,127.06265982390637]",경기도 양주시 덕정동 350-102 ,이디야커피 덕정역점
"[37.837298621801594,127.0671588602477]",경기도 양주시 덕정동 208-2 ,이디야커피 양주덕정점
"[37.66485655568838,127.06641958040188]",서울특별시 노원구 상계5동 456-132 ,이디야 상계동점
"[37.73861569714383,127.04411867115779]",경기도 의정부시 의정부동 442-11 ,이디야커피 의정부서부점
"[37.67790109960611,127.04475081986686]",서울특별시 도봉구 도봉동 596-20 ,이디야커피 도봉역점
"[37.679090801129135,127.05485921006422]",서울특별시 노원구 상계동 1262 ,이디야 수락산역점
"[37.6697827956168,127.04251982922165]",서울특별시 도봉구 방학동 652-21 ,이디야커피 방학역점
"[37.6840740329062,127.04486439592002]",서울특별시 도봉구 도봉동 568-33 ,이디야 도봉중앙점
"[37.66647414829363,127.04562271587747]",서울특별시 도봉구 방학동 716-5 ,이디야커피 도봉구청점
"[37.70420420779737,126.90219306536036]",경기도 고양시 덕양구 고양동 142 ,이디야 일산고양동점
"[37.659865302429324,127.07562843304092]",서울특별시 노원구 중계동 152-5 ,이디야커피 상계역점
"[37.75118920645587,127.06943245849429]",경기도 의정부시 금오동 473-4 ,이디야커피 금오동점
"[37.7582177544084,127.0380899928288]",경기도 의정부시 녹양동 327 ,이디야커피 의정부녹양점
"[37.9061856324101,127.05433847428232]",경기도 동두천시 생연동 601-20 ,이디야커피 동두천중앙역점
"[37.74806056489165,127.04550637089707]",경기도 의정부시 의정부동 228-26 ,이디야커피 가능역점
"[37.72563067809756,127.04840336904182]",경기도 의정부시 호원동 425 한승프라자 110호,이디야커피 회룡역점
"[37.75633444534588,127.075212473639]",경기도 의정부시 금오동 120-25 ,이디야 의정부금오중앙점
"[37.66217465351341,127.03325560608111]",서울특별시 도봉구 방학3동 670 ,이디야커피 방학점
"[37.65930603510246,127.12760038427032]",경기도 남양주시 별내동 953 ,이디야커피 별내동부점
"[37.74949335560773,127.0377717377581]",경기도 의정부시 가능동 656-1 ,이디야커피 의정부가능SK점
"[37.71197479114743,127.04772740885952]",경기도 의정부시 호원동 455-8 ,이디야커피 망월사역점
